batter,total_runs,balls_faced,total_fours,total_sixes,total_matches,batting_average,strike_rate,boundary_runs
TA Boult,83,82,5,3,22,3.77,101.22,38
RE Levi,83,74,10,4,6,13.83,112.16,64
NM Coulter-Nile,82,75,7,4,16,5.12,109.33,52
LA Carseldine,81,71,11,0,5,16.2,114.08,44
Shahid Afridi,81,46,7,6,9,9.0,176.09,64
WPUJC Vaas,81,73,2,3,11,7.36,110.96,26
CJ Jordan,81,81,3,3,12,6.75,100.0,30
DL Chahar,80,61,2,6,12,6.67,131.15,44
RV Patel,80,76,6,2,7,11.43,105.26,36
AD Mascarenhas,79,79,5,1,11,7.18,100.0,26
JR Philippe,78,80,9,1,5,15.6,97.5,42
CR Woakes,78,77,7,2,12,6.5,101.3,40
B Akhil,76,57,5,5,11,6.91,133.33,50
IR Jaggi,76,100,6,0,7,10.86,76.0,24
TR Birt,75,59,9,2,5,15.0,127.12,48
Mohammed Shami,74,82,6,2,23,3.22,90.24,36
RR Sarwan,73,78,6,1,4,18.25,93.59,30
M Klinger,73,78,9,0,4,18.25,93.59,36
PWH de Silva,72,80,7,1,14,5.14,90.0,34
MJ Santner,70,77,4,3,11,6.36,90.91,34
J Suchith,70,62,6,3,9,7.78,112.9,42
AA Bilakhia,69,88,5,0,7,9.86,78.41,20
Vivrant Sharma,69,49,9,2,1,69.0,140.82,48
LH Ferguson,68,48,6,2,7,9.71,141.67,36
JJ Bumrah,68,80,5,1,26,2.62,85.0,26
RR Powar,67,64,6,1,9,7.44,104.69,30
HR Shokeen,66,67,9,0,5,13.2,98.51,36
R Sharma,66,77,5,3,19,3.47,85.71,38
M Jansen,66,71,5,2,12,5.5,92.96,32
WD Parnell,65,86,4,1,13,5.0,75.58,22
KA Jamieson,65,55,5,3,7,9.29,118.18,38
GD Phillips,65,55,3,6,8,8.12,118.18,48
Mohammad Hafeez,64,84,7,2,8,8.0,76.19,40
Anirudh Singh,63,69,6,1,4,15.75,91.3,30
A Flintoff,62,57,5,2,3,20.67,108.77,32
SP Jackson,61,57,5,1,8,7.62,107.02,26
S Aravind,59,59,7,0,10,5.9,100.0,28
MG Bracewell,58,49,6,1,4,14.5,118.37,30
I Sharma,57,71,4,2,21,2.71,80.28,28
Vishnu Vinod,56,58,3,3,6,9.33,96.55,30
WA Mota,56,76,2,0,8,7.0,73.68,8
M Rawat,55,70,4,1,11,5.0,78.57,22
Sandeep Sharma,54,73,4,0,25,2.16,73.97,16
DJ Willey,53,64,7,0,5,10.6,82.81,28
A Chopra,53,75,7,0,6,8.83,70.67,28
Shoaib Malik,52,49,5,0,5,10.4,106.12,20
RP Singh,52,78,2,1,28,1.86,66.67,14
OF Smith,51,50,1,5,6,8.5,102.0,34
R Rampaul,51,52,3,2,7,7.29,98.08,24
Sameer Rizvi,51,43,4,2,5,10.2,118.6,28
KB Arun Karthik,51,53,4,1,8,6.38,96.23,22
Swapnil Singh,51,46,3,3,9,5.67,110.87,30
Shivam Mavi,51,58,4,2,11,4.64,87.93,28
VR Aaron,50,73,2,2,12,4.17,68.49,20
RV Gomez,50,53,5,1,9,5.56,94.34,26
SB Bangar,49,58,1,3,7,7.0,84.48,22
AG Paunikar,49,61,9,0,5,9.8,80.33,36
AS Yadav,49,40,5,2,6,8.17,122.5,32
A Nortje,49,51,6,0,13,3.77,96.08,24
T Kohler-Cadmore,48,54,7,1,3,16.0,88.89,34
M Markande,48,44,5,1,10,4.8,109.09,26
Yashpal Singh,47,67,5,0,4,11.75,70.15,20
D Pretorius,44,28,3,3,5,8.8,157.14,30
DR Sams,44,48,1,3,13,3.38,91.67,22
Sunny Singh,43,31,6,1,5,8.6,138.71,30
PVD Chameera,43,32,3,3,7,6.14,134.38,30
AB Barath,42,43,5,1,3,14.0,97.67,26
Azmatullah Omarzai,42,34,2,2,4,10.5,123.53,20
SK Trivedi,42,61,3,1,14,3.0,68.85,18
A Nehra,41,63,3,1,17,2.41,65.08,18
Avesh Khan,41,25,3,3,9,4.56,164.0,30
BR Dunk,40,36,7,0,3,13.33,111.11,28
J Yadav,40,38,2,1,4,10.0,105.26,14
Rasikh Salam,40,40,5,0,6,6.67,100.0,20
LPC Silva,40,27,5,1,3,13.33,148.15,26
DJ Thornely,39,54,2,2,4,9.75,72.22,20
Umar Gul,39,19,1,5,4,9.75,205.26,34
AUK Pathan,39,26,5,2,7,5.57,150.0,32
MM Patel,39,41,5,0,12,3.25,95.12,20
S Nadeem,39,88,2,0,20,1.95,44.32,8
